date,close
2025-10-06,46.96
2025-10-07,47.16
2025-10-08,47.29
2025-10-09,47.78
2025-10-10,47.83
2025-10-13,48.02
2025-10-14,47.78
2025-10-15,47.89
2025-10-16,47.64
2025-10-17,47.52
2025-10-20,47.24
2025-10-21,47.39
2025-10-22,47.14
2025-10-23,46.91
2025-10-24,47.13
2025-10-27,46.96
2025-10-28,46.88
2025-10-29,46.90
2025-10-30,46.93
2025-10-31,46.75
2025-11-03,46.66
2025-11-04,46.46
2025-11-05,45.99
2025-11-06,45.57
2025-11-07,45.20
2025-11-10,44.89
2025-11-11,44.47
2025-11-12,44.49
2025-11-13,44.21
2025-11-14,44.19
2025-11-17,44.11
2025-11-18,44.19
2025-11-19,44.53
2025-11-20,44.70
2025-11-21,44.50
2025-11-24,44.91
2025-11-25,44.63
2025-11-26,44.90
2025-11-27,44.51
2025-11-28,44.52
2025-12-01,44.47
2025-12-02,44.82
2025-12-03,44.56
2025-12-04,44.98
2025-12-05,45.20
2025-12-08,45.71
2025-12-09,45.71
2025-12-10,45.99
2025-12-11,46.61
2025-12-12,46.82
2025-12-15,47.00
2025-12-16,47.02
2025-12-17,47.07
2025-12-18,47.08
2025-12-19,46.67
2025-12-22,46.72
2025-12-23,46.73
2025-12-24,46.42
2025-12-25,46.59
2025-12-26,46.45
2025-12-29,46.85
2025-12-30,46.74
2025-12-31,46.79
2026-01-01,47.04
2026-01-02,47.22
2026-01-05,47.04
2026-01-06,47.02
2026-01-07,46.83
2026-01-08,46.95
2026-01-09,46.88
2026-01-12,46.71
2026-01-13,46.49
2026-01-14,46.57
2026-01-15,46.83
2026-01-16,46.70
2026-01-19,47.05
2026-01-20,47.52
2026-01-21,48.00
2026-01-22,48.29
2026-01-23,48.48
2026-01-26,48.95
2026-01-27,49.12
2026-01-28,49.32
2026-01-29,49.45
2026-01-30,49.60
2026-02-02,49.57
2026-02-03,49.77
2026-02-04,50.21
2026-02-05,50.47
2026-02-06,50.57
2026-02-09,50.89
2026-02-10,51.48
2026-02-11,51.88
2026-02-12,51.87
2026-02-13,52.19
2026-02-16,52.50
2026-02-17,52.69
2026-02-18,52.32
2026-02-19,52.51
2026-02-20,52.09
2026-02-23,51.90
2026-02-24,51.82
2026-02-25,51.66
2026-02-26,51.56
2026-02-27,51.44
2026-03-02,51.54
2026-03-03,51.68
2026-03-04,51.44
2026-03-05,51.68
2026-03-06,51.60
2026-03-09,51.62
2026-03-10,51.15
2026-03-11,50.94
2026-03-12,50.80
2026-03-13,50.49
2026-03-16,50.23
2026-03-17,50.15
2026-03-18,50.19
2026-03-19,50.23
2026-03-20,49.98
2026-03-23,50.38
2026-03-24,50.34
2026-03-25,50.53
2026-03-26,50.77
2026-03-27,50.86
2026-03-30,51.18
2026-03-31,51.13
2026-04-01,51.10
2026-04-02,51.12
2026-04-03,51.10
2026-04-06,50.97
2026-04-07,51.01
2026-04-08,50.89
2026-04-09,50.85
2026-04-10,50.69
2026-04-13,51.13
2026-04-14,50.82
2026-04-15,51.00
2026-04-16,51.08
2026-04-17,51.23
2026-04-20,51.02
2026-04-21,50.90
2026-04-22,50.72
2026-04-23,50.23
2026-04-24,50.11
2026-04-27,49.53
2026-04-28,49.12
2026-04-29,48.94
2026-04-30,48.60
2026-05-01,48.69
2026-05-04,48.35
2026-05-05,48.38
2026-05-06,48.47
2026-05-07,48.26
2026-05-08,48.40
2026-05-11,48.28
2026-05-12,47.96
2026-05-13,47.78
2026-05-14,47.88
2026-05-15,47.40
2026-05-18,47.34
2026-05-19,47.17
2026-05-20,47.20
2026-05-21,47.22
2026-05-22,47.50
2026-05-25,47.73
2026-05-26,48.02
2026-05-27,48.33
2026-05-28,48.76
2026-05-29,49.34
2026-06-01,49.37
2026-06-02,49.61
2026-06-03,49.90
2026-06-04,49.72
2026-06-05,50.03
2026-06-08,49.80
2026-06-09,49.97
2026-06-10,50.20
2026-06-11,50.28
2026-06-12,50.06
2026-06-15,50.43
2026-06-16,50.88
2026-06-17,50.75
2026-06-18,51.10
2026-06-19,51.37
2026-06-22,51.38
2026-06-23,51.30
2026-06-24,51.30
2026-06-25,51.30
2026-06-26,50.83
2026-06-29,50.78
2026-06-30,50.83
2026-07-01,50.39
2026-07-02,50.41
2026-07-03,50.53
2026-07-06,50.77
2026-07-07,50.77
2026-07-08,51.01
2026-07-09,51.14
2026-07-10,51.43
2026-07-13,51.86
2026-07-14,51.71
2026-07-15,52.09
2026-07-16,52.08
2026-07-17,52.04
2026-07-20,52.31
2026-07-21,52.00
2026-07-22,52.29
2026-07-23,52.54
2026-07-24,52.92
2026-07-27,52.94
2026-07-28,53.56
2026-07-29,53.91
2026-07-30,54.32
2026-07-31,54.55
2026-08-03,55.19
2026-08-04,55.07
2026-08-05,55.38
2026-08-06,55.13
2026-08-07,55.36
2026-08-10,55.35
2026-08-11,55.23
2026-08-12,54.99
2026-08-13,54.95
2026-08-14,54.89
2026-08-17,54.95
